GameID,Date,Team,Points,Home/Away,Win
1,"Tue, Sep 1, 2020",Boston Celtics,102,Away,1
1,"Tue, Sep 1, 2020",Toronto Raptors,99,Home,0
2,"Tue, Sep 1, 2020",Utah Jazz,78,Away,0
2,"Tue, Sep 1, 2020",Denver Nuggets,80,Home,1
3,"Wed, Sep 2, 2020",Miami Heat,116,Away,1
3,"Wed, Sep 2, 2020",Milwaukee Bucks,114,Home,0
4,"Wed, Sep 2, 2020",Oklahoma City Thunder,102,Away,0
4,"Wed, Sep 2, 2020",Houston Rockets,104,Home,1
5,"Thu, Sep 3, 2020",Toronto Raptors,104,Away,1
5,"Thu, Sep 3, 2020",Boston Celtics,103,Home,0
6,"Thu, Sep 3, 2020",Denver Nuggets,97,Away,0
6,"Thu, Sep 3, 2020",Los Angeles Clippers,120,Home,1
7,"Fri, Sep 4, 2020",Milwaukee Bucks,100,Away,0
7,"Fri, Sep 4, 2020",Miami Heat,115,Home,1
8,"Fri, Sep 4, 2020",Houston Rockets,112,Away,1
8,"Fri, Sep 4, 2020",Los Angeles Lakers,97,Home,0
9,"Sat, Sep 5, 2020",Toronto Raptors,100,Away,1
9,"Sat, Sep 5, 2020",Boston Celtics,93,Home,0
10,"Sat, Sep 5, 2020",Denver Nuggets,110,Away,1
10,"Sat, Sep 5, 2020",Los Angeles Clippers,101,Home,0
11,"Sun, Sep 6, 2020",Milwaukee Bucks,118,Away,1
11,"Sun, Sep 6, 2020",Miami Heat,115,Home,0
12,"Sun, Sep 6, 2020",Houston Rockets,109,Away,0
12,"Sun, Sep 6, 2020",Los Angeles Lakers,117,Home,1
13,"Mon, Sep 7, 2020",Boston Celtics,111,Away,1
13,"Mon, Sep 7, 2020",Toronto Raptors,89,Home,0
14,"Mon, Sep 7, 2020",Los Angeles Clippers,113,Away,1
14,"Mon, Sep 7, 2020",Denver Nuggets,107,Home,0
15,"Tue, Sep 8, 2020",Miami Heat,103,Away,1
15,"Tue, Sep 8, 2020",Milwaukee Bucks,94,Home,0
16,"Tue, Sep 8, 2020",Los Angeles Lakers,112,Away,1
16,"Tue, Sep 8, 2020",Houston Rockets,102,Home,0
17,"Wed, Sep 9, 2020",Toronto Raptors,125,Away,1
17,"Wed, Sep 9, 2020",Boston Celtics,122,Home,0
18,"Wed, Sep 9, 2020",Los Angeles Clippers,96,Away,1
18,"Wed, Sep 9, 2020",Denver Nuggets,85,Home,0
19,"Thu, Sep 10, 2020",Los Angeles Lakers,110,Away,1
