GameID,Date,Team,Points,Home/Away,Win
1,"Tue, Oct 16, 2018",Philadelphia 76ers,87,Away,0
1,"Tue, Oct 16, 2018",Boston Celtics,105,Home,1
2,"Tue, Oct 16, 2018",Oklahoma City Thunder,100,Away,0
2,"Tue, Oct 16, 2018",Golden State Warriors,108,Home,1
3,"Wed, Oct 17, 2018",Milwaukee Bucks,113,Away,1
3,"Wed, Oct 17, 2018",Charlotte Hornets,112,Home,0
4,"Wed, Oct 17, 2018",Brooklyn Nets,100,Away,0
4,"Wed, Oct 17, 2018",Detroit Pistons,103,Home,1
5,"Wed, Oct 17, 2018",Memphis Grizzlies,83,Away,0
5,"Wed, Oct 17, 2018",Indiana Pacers,111,Home,1
6,"Wed, Oct 17, 2018",Miami Heat,101,Away,0
6,"Wed, Oct 17, 2018",Orlando Magic,104,Home,1
7,"Wed, Oct 17, 2018",Atlanta Hawks,107,Away,0
7,"Wed, Oct 17, 2018",New York Knicks,126,Home,1
8,"Wed, Oct 17, 2018",Cleveland Cavaliers,104,Away,0
8,"Wed, Oct 17, 2018",Toronto Raptors,116,Home,1
9,"Wed, Oct 17, 2018",New Orleans Pelicans,131,Away,1
9,"Wed, Oct 17, 2018",Houston Rockets,112,Home,0
10,"Wed, Oct 17, 2018",Minnesota Timberwolves,108,Away,0
10,"Wed, Oct 17, 2018",San Antonio Spurs,112,Home,1
11,"Wed, Oct 17, 2018",Utah Jazz,123,Away,1
11,"Wed, Oct 17, 2018",Sacramento Kings,117,Home,0
12,"Wed, Oct 17, 2018",Denver Nuggets,107,Away,1
12,"Wed, Oct 17, 2018",Los Angeles Clippers,98,Home,0
13,"Wed, Oct 17, 2018",Dallas Mavericks,100,Away,0
13,"Wed, Oct 17, 2018",Phoenix Suns,121,Home,1
14,"Thu, Oct 18, 2018",Chicago Bulls,108,Away,0
14,"Thu, Oct 18, 2018",Philadelphia 76ers,127,Home,1
15,"Thu, Oct 18, 2018",Miami Heat,113,Away,1
15,"Thu, Oct 18, 2018",Washington Wizards,112,Home,0
16,"Thu, Oct 18, 2018",Los Angeles Lakers,119,Away,0
16,"Thu, Oct 18, 2018",Portland Trail Blazers,128,Home,1
17,"Fri, Oct 19, 2018",Charlotte Hornets,120,Away,1
17,"Fri, Oct 19, 2018",Orlando Magic,88,Home,0
18,"Fri, Oct 19, 2018",New York Knicks,105,Away,0
18,"Fri, Oct 19, 2018",Brooklyn Nets,107,Home,1
19,"Fri, Oct 19, 2018",Atlanta Hawks,117,Away,0
19,"Fri, Oct 19, 2018",Memphis Grizzlies,131,Home,1
20,"Fri, Oct 19, 2018",Cleveland Cavaliers,123,Away,0
20,"Fri, Oct 19, 2018",Minnesota Timberwolves,131,Home,1
21,"Fri, Oct 19, 2018",Sacramento Kings,129,Away,0
21,"Fri, Oct 19, 2018",New Orleans Pelicans,149,Home,1
22,"Fri, Oct 19, 2018",Boston Celtics,101,Away,0
22,"Fri, Oct 19, 2018",Toronto Raptors,113,Home,1
23,"Fri, Oct 19, 2018",Indiana Pacers,101,Away,0
23,"Fri, Oct 19, 2018",Milwaukee Bucks,118,Home,1
24,"Fri, Oct 19, 2018",Oklahoma City Thunder,92,Away,0
24,"Fri, Oct 19, 2018",Los Angeles Clippers,108,Home,1
25,"Fri, Oct 19, 2018",Golden State Warriors,124,Away,1
25,"Fri, Oct 19, 2018",Utah Jazz,123,Home,0
26,"Sat, Oct 20, 2018",Brooklyn Nets,112,Away,0
26,"Sat, Oct 20, 2018",Indiana Pacers,132,Home,1
27,"Sat, Oct 20, 2018",Toronto Raptors,117,Away,1
27,"Sat, Oct 20, 2018",Washington Wizards,113,Home,0
28,"Sat, Oct 20, 2018",Boston Celtics,103,Away,1
28,"Sat, Oct 20, 2018",New York Knicks,101,Home,0
29,"Sat, Oct 20, 2018",Orlando Magic,115,Away,0
29,"Sat, Oct 20, 2018",Philadelphia 76ers,116,Home,1
30,"Sat, Oct 20, 2018",Detroit Pistons,118,Away,1
30,"Sat, Oct 20, 2018",Chicago Bulls,116,Home,0
31,"Sat, Oct 20, 2018",Charlotte Hornets,113,Away,1
31,"Sat, Oct 20, 2018",Miami Heat,112,Home,0
32,"Sat, Oct 20, 2018",Minnesota Timberwolves,136,Away,0
32,"Sat, Oct 20, 2018",Dallas Mavericks,140,Home,1
33,"Sat, Oct 20, 2018",Phoenix Suns,91,Away,0
33,"Sat, Oct 20, 2018",Denver Nuggets,119,Home,1
34,"Sat, Oct 20, 2018",San Antonio Spurs,108,Away,0
34,"Sat, Oct 20, 2018",Portland Trail Blazers,121,Home,1
35,"Sat, Oct 20, 2018",Houston Rockets,124,Away,1
35,"Sat, Oct 20, 2018",Los Angeles Lakers,115,Home,0
36,"Sun, Oct 21, 2018",Atlanta Hawks,133,Away,1
36,"Sun, Oct 21, 2018",Cleveland Cavaliers,111,Home,0
37,"Sun, Oct 21, 2018",Sacramento Kings,131,Away,1
37,"Sun, Oct 21, 2018",Oklahoma City Thunder,120,Home,0
38,"Sun, Oct 21, 2018",Golden State Warriors,98,Away,0
38,"Sun, Oct 21, 2018",Denver Nuggets,100,Home,1
39,"Sun, Oct 21, 2018",Houston Rockets,112,Away,0
39,"Sun, Oct 21, 2018",Los Angeles Clippers,115,Home,1
40,"Mon, Oct 22, 2018",Orlando Magic,93,Away,1
40,"Mon, Oct 22, 2018",Boston Celtics,90,Home,0
41,"Mon, Oct 22, 2018",Charlotte Hornets,106,Away,0
41,"Mon, Oct 22, 2018",Toronto Raptors,127,Home,1
42,"Mon, Oct 22, 2018",New York Knicks,113,Away,0
42,"Mon, Oct 22, 2018",Milwaukee Bucks,124,Home,1
43,"Mon, Oct 22, 2018",Indiana Pacers,91,Away,0
43,"Mon, Oct 22, 2018",Minnesota Timberwolves,101,Home,1
44,"Mon, Oct 22, 2018",Chicago Bulls,109,Away,0
44,"Mon, Oct 22, 2018",Dallas Mavericks,115,Home,1
45,"Mon, Oct 22, 2018",Memphis Grizzlies,92,Away,1
45,"Mon, Oct 22, 2018",Utah Jazz,84,Home,0
46,"Mon, Oct 22, 2018",Washington Wizards,125,Away,1
46,"Mon, Oct 22, 2018",Portland Trail Blazers,124,Home,0
47,"Mon, Oct 22, 2018",Phoenix Suns,103,Away,0
47,"Mon, Oct 22, 2018",Golden State Warriors,123,Home,1
48,"Mon, Oct 22, 2018",San Antonio Spurs,143,Away,1
48,"Mon, Oct 22, 2018",Los Angeles Lakers,142,Home,0
49,"Tue, Oct 23, 2018",Philadelphia 76ers,132,Away,0
49,"Tue, Oct 23, 2018",Detroit Pistons,133,Home,1
50,"Tue, Oct 23, 2018",Los Angeles Clippers,109,Away,0
50,"Tue, Oct 23, 2018",New Orleans Pelicans,116,Home,1
51,"Tue, Oct 23, 2018",Sacramento Kings,112,Away,0
51,"Tue, Oct 23, 2018",Denver Nuggets,126,Home,1
52,"Wed, Oct 24, 2018",Dallas Mavericks,104,Away,0
52,"Wed, Oct 24, 2018",Atlanta Hawks,111,Home,1
53,"Wed, Oct 24, 2018",Brooklyn Nets,102,Away,1
53,"Wed, Oct 24, 2018",Cleveland Cavaliers,86,Home,0
54,"Wed, Oct 24, 2018",New York Knicks,87,Away,0
54,"Wed, Oct 24, 2018",Miami Heat,110,Home,1
55,"Wed, Oct 24, 2018",Minnesota Timberwolves,105,Away,0
55,"Wed, Oct 24, 2018",Toronto Raptors,112,Home,1
56,"Wed, Oct 24, 2018",Charlotte Hornets,110,Away,0
56,"Wed, Oct 24, 2018",Chicago Bulls,112,Home,1
57,"Wed, Oct 24, 2018",Utah Jazz,100,Away,1
57,"Wed, Oct 24, 2018",Houston Rockets,89,Home,0
58,"Wed, Oct 24, 2018",Indiana Pacers,116,Away,1
58,"Wed, Oct 24, 2018",San Antonio Spurs,96,Home,0
59,"Wed, Oct 24, 2018",Philadelphia 76ers,108,Away,0
59,"Wed, Oct 24, 2018",Milwaukee Bucks,123,Home,1
60,"Wed, Oct 24, 2018",Los Angeles Lakers,131,Away,1
60,"Wed, Oct 24, 2018",Phoenix Suns,113,Home,0
61,"Wed, Oct 24, 2018",Memphis Grizzlies,92,Away,0
61,"Wed, Oct 24, 2018",Sacramento Kings,97,Home,1
62,"Wed, Oct 24, 2018",Washington Wizards,122,Away,0
62,"Wed, Oct 24, 2018",Golden State Warriors,144,Home,1
63,"Thu, Oct 25, 2018",Cleveland Cavaliers,103,Away,0
63,"Thu, Oct 25, 2018",Detroit Pistons,110,Home,1
64,"Thu, Oct 25, 2018",Portland Trail Blazers,128,Away,1
64,"Thu, Oct 25, 2018",Orlando Magic,114,Home,0
65,"Thu, Oct 25, 2018",Boston Celtics,101,Away,1
65,"Thu, Oct 25, 2018",Oklahoma City Thunder,95,Home,0
66,"Thu, Oct 25, 2018",Denver Nuggets,114,Away,0
66,"Thu, Oct 25, 2018",Los Angeles Lakers,121,Home,1
67,"Fri, Oct 26, 2018",Chicago Bulls,106,Away,0
67,"Fri, Oct 26, 2018",Charlotte Hornets,135,Home,1
68,"Fri, Oct 26, 2018",Golden State Warriors,128,Away,1
