GameID,Date,Team,Points,Home/Away,Win
1,"Tue, Oct 25, 2016",New York Knicks,88,Away,0
1,"Tue, Oct 25, 2016",Cleveland Cavaliers,117,Home,1
2,"Tue, Oct 25, 2016",Utah Jazz,104,Away,0
2,"Tue, Oct 25, 2016",Portland Trail Blazers,113,Home,1
3,"Tue, Oct 25, 2016",San Antonio Spurs,129,Away,1
3,"Tue, Oct 25, 2016",Golden State Warriors,100,Home,0
4,"Wed, Oct 26, 2016",Dallas Mavericks,121,Away,0
4,"Wed, Oct 26, 2016",Indiana Pacers,130,Home,1
5,"Wed, Oct 26, 2016",Miami Heat,108,Away,1
5,"Wed, Oct 26, 2016",Orlando Magic,96,Home,0
6,"Wed, Oct 26, 2016",Detroit Pistons,91,Away,0
6,"Wed, Oct 26, 2016",Toronto Raptors,109,Home,1
7,"Wed, Oct 26, 2016",Brooklyn Nets,117,Away,0
7,"Wed, Oct 26, 2016",Boston Celtics,122,Home,1
8,"Wed, Oct 26, 2016",Charlotte Hornets,107,Away,1
8,"Wed, Oct 26, 2016",Milwaukee Bucks,96,Home,0
9,"Wed, Oct 26, 2016",Denver Nuggets,107,Away,1
9,"Wed, Oct 26, 2016",New Orleans Pelicans,102,Home,0
10,"Wed, Oct 26, 2016",Minnesota Timberwolves,98,Away,0
10,"Wed, Oct 26, 2016",Memphis Grizzlies,102,Home,1
11,"Wed, Oct 26, 2016",Oklahoma City Thunder,103,Away,1
11,"Wed, Oct 26, 2016",Philadelphia 76ers,97,Home,0
12,"Wed, Oct 26, 2016",Sacramento Kings,113,Away,1
12,"Wed, Oct 26, 2016",Phoenix Suns,94,Home,0
13,"Wed, Oct 26, 2016",Houston Rockets,114,Away,0
13,"Wed, Oct 26, 2016",Los Angeles Lakers,120,Home,1
14,"Thu, Oct 27, 2016",Washington Wizards,99,Away,0
14,"Thu, Oct 27, 2016",Atlanta Hawks,114,Home,1
15,"Thu, Oct 27, 2016",Boston Celtics,99,Away,0
15,"Thu, Oct 27, 2016",Chicago Bulls,105,Home,1
16,"Thu, Oct 27, 2016",Los Angeles Clippers,114,Away,1
16,"Thu, Oct 27, 2016",Portland Trail Blazers,106,Home,0
17,"Thu, Oct 27, 2016",San Antonio Spurs,102,Away,1
17,"Thu, Oct 27, 2016",Sacramento Kings,94,Home,0
18,"Fri, Oct 28, 2016",Cleveland Cavaliers,94,Away,1
18,"Fri, Oct 28, 2016",Toronto Raptors,91,Home,0
19,"Fri, Oct 28, 2016",Indiana Pacers,94,Away,0
19,"Fri, Oct 28, 2016",Brooklyn Nets,103,Home,1
20,"Fri, Oct 28, 2016",Orlando Magic,82,Away,0
20,"Fri, Oct 28, 2016",Detroit Pistons,108,Home,1
21,"Fri, Oct 28, 2016",Phoenix Suns,110,Away,0
21,"Fri, Oct 28, 2016",Oklahoma City Thunder,113,Home,1
22,"Fri, Oct 28, 2016",Charlotte Hornets,97,Away,1
22,"Fri, Oct 28, 2016",Miami Heat,91,Home,0
23,"Fri, Oct 28, 2016",Houston Rockets,106,Away,1
23,"Fri, Oct 28, 2016",Dallas Mavericks,98,Home,0
24,"Fri, Oct 28, 2016",Los Angeles Lakers,89,Away,0
24,"Fri, Oct 28, 2016",Utah Jazz,96,Home,1
25,"Fri, Oct 28, 2016",Golden State Warriors,122,Away,1
25,"Fri, Oct 28, 2016",New Orleans Pelicans,114,Home,0
26,"Sat, Oct 29, 2016",Atlanta Hawks,104,Away,1
26,"Sat, Oct 29, 2016",Philadelphia 76ers,72,Home,0
27,"Sat, Oct 29, 2016",Boston Celtics,104,Away,1
27,"Sat, Oct 29, 2016",Charlotte Hornets,98,Home,0
28,"Sat, Oct 29, 2016",Orlando Magic,99,Away,0
28,"Sat, Oct 29, 2016",Cleveland Cavaliers,105,Home,1
29,"Sat, Oct 29, 2016",Memphis Grizzlies,104,Away,0
29,"Sat, Oct 29, 2016",New York Knicks,111,Home,1
30,"Sat, Oct 29, 2016",New Orleans Pelicans,79,Away,0
30,"Sat, Oct 29, 2016",San Antonio Spurs,98,Home,1
31,"Sat, Oct 29, 2016",Brooklyn Nets,108,Away,0
31,"Sat, Oct 29, 2016",Milwaukee Bucks,110,Home,1
32,"Sat, Oct 29, 2016",Indiana Pacers,101,Away,0
32,"Sat, Oct 29, 2016",Chicago Bulls,118,Home,1
33,"Sat, Oct 29, 2016",Portland Trail Blazers,115,Away,1
33,"Sat, Oct 29, 2016",Denver Nuggets,113,Home,0
34,"Sat, Oct 29, 2016",Minnesota Timberwolves,103,Away,0
34,"Sat, Oct 29, 2016",Sacramento Kings,106,Home,1
35,"Sun, Oct 30, 2016",Utah Jazz,75,Away,0
35,"Sun, Oct 30, 2016",Los Angeles Clippers,88,Home,1
36,"Sun, Oct 30, 2016",Milwaukee Bucks,83,Away,0
36,"Sun, Oct 30, 2016",Detroit Pistons,98,Home,1
37,"Sun, Oct 30, 2016",San Antonio Spurs,106,Away,1
37,"Sun, Oct 30, 2016",Miami Heat,99,Home,0
38,"Sun, Oct 30, 2016",Golden State Warriors,106,Away,1
38,"Sun, Oct 30, 2016",Phoenix Suns,100,Home,0
39,"Sun, Oct 30, 2016",Los Angeles Lakers,96,Away,0
39,"Sun, Oct 30, 2016",Oklahoma City Thunder,113,Home,1
40,"Sun, Oct 30, 2016",Dallas Mavericks,92,Away,0
40,"Sun, Oct 30, 2016",Houston Rockets,93,Home,1
41,"Sun, Oct 30, 2016",Washington Wizards,103,Away,0
41,"Sun, Oct 30, 2016",Memphis Grizzlies,112,Home,1
42,"Mon, Oct 31, 2016",Sacramento Kings,95,Away,0
42,"Mon, Oct 31, 2016",Atlanta Hawks,106,Home,1
43,"Mon, Oct 31, 2016",Chicago Bulls,118,Away,1
43,"Mon, Oct 31, 2016",Brooklyn Nets,88,Home,0
44,"Mon, Oct 31, 2016",Denver Nuggets,102,Away,0
44,"Mon, Oct 31, 2016",Toronto Raptors,105,Home,1
45,"Mon, Oct 31, 2016",Phoenix Suns,98,Away,0
45,"Mon, Oct 31, 2016",Los Angeles Clippers,116,Home,1
46,"Tue, Nov 1, 2016",Houston Rockets,120,Away,0
46,"Tue, Nov 1, 2016",Cleveland Cavaliers,128,Home,1
47,"Tue, Nov 1, 2016",Los Angeles Lakers,108,Away,0
47,"Tue, Nov 1, 2016",Indiana Pacers,115,Home,1
48,"Tue, Nov 1, 2016",Orlando Magic,103,Away,1
48,"Tue, Nov 1, 2016",Philadelphia 76ers,101,Home,0
49,"Tue, Nov 1, 2016",New York Knicks,89,Away,0
49,"Tue, Nov 1, 2016",Detroit Pistons,102,Home,1
50,"Tue, Nov 1, 2016",Sacramento Kings,96,Away,0
50,"Tue, Nov 1, 2016",Miami Heat,108,Home,1
51,"Tue, Nov 1, 2016",Memphis Grizzlies,80,Away,0
51,"Tue, Nov 1, 2016",Minnesota Timberwolves,116,Home,1
52,"Tue, Nov 1, 2016",Milwaukee Bucks,117,Away,1
