GameID,Date,Team,Points,Home/Away,Win
1,"Tue, Oct 28, 2014",Orlando Magic,84,Away,0
1,"Tue, Oct 28, 2014",New Orleans Pelicans,101,Home,1
2,"Tue, Oct 28, 2014",Dallas Mavericks,100,Away,0
2,"Tue, Oct 28, 2014",San Antonio Spurs,101,Home,1
3,"Tue, Oct 28, 2014",Houston Rockets,108,Away,1
3,"Tue, Oct 28, 2014",Los Angeles Lakers,90,Home,0
4,"Wed, Oct 29, 2014",Milwaukee Bucks,106,Away,0
4,"Wed, Oct 29, 2014",Charlotte Hornets,108,Home,1
5,"Wed, Oct 29, 2014",Philadelphia 76ers,91,Away,0
5,"Wed, Oct 29, 2014",Indiana Pacers,103,Home,1
6,"Wed, Oct 29, 2014",Atlanta Hawks,102,Away,0
6,"Wed, Oct 29, 2014",Toronto Raptors,109,Home,1
7,"Wed, Oct 29, 2014",Washington Wizards,95,Away,0
7,"Wed, Oct 29, 2014",Miami Heat,107,Home,1
8,"Wed, Oct 29, 2014",Brooklyn Nets,105,Away,0
8,"Wed, Oct 29, 2014",Boston Celtics,121,Home,1
9,"Wed, Oct 29, 2014",Chicago Bulls,104,Away,1
9,"Wed, Oct 29, 2014",New York Knicks,80,Home,0
10,"Wed, Oct 29, 2014",Minnesota Timberwolves,101,Away,0
10,"Wed, Oct 29, 2014",Memphis Grizzlies,105,Home,1
11,"Wed, Oct 29, 2014",Detroit Pistons,79,Away,0
11,"Wed, Oct 29, 2014",Denver Nuggets,89,Home,1
12,"Wed, Oct 29, 2014",Houston Rockets,104,Away,1
12,"Wed, Oct 29, 2014",Utah Jazz,93,Home,0
13,"Wed, Oct 29, 2014",Los Angeles Lakers,99,Away,0
13,"Wed, Oct 29, 2014",Phoenix Suns,119,Home,1
14,"Wed, Oct 29, 2014",Golden State Warriors,95,Away,1
14,"Wed, Oct 29, 2014",Sacramento Kings,77,Home,0
15,"Wed, Oct 29, 2014",Oklahoma City Thunder,89,Away,0
15,"Wed, Oct 29, 2014",Portland Trail Blazers,106,Home,1
16,"Thu, Oct 30, 2014",Washington Wizards,105,Away,1
16,"Thu, Oct 30, 2014",Orlando Magic,98,Home,0
17,"Thu, Oct 30, 2014",New York Knicks,95,Away,1
17,"Thu, Oct 30, 2014",Cleveland Cavaliers,90,Home,0
18,"Thu, Oct 30, 2014",Detroit Pistons,91,Away,0
18,"Thu, Oct 30, 2014",Minnesota Timberwolves,97,Home,1
19,"Thu, Oct 30, 2014",Utah Jazz,102,Away,0
19,"Thu, Oct 30, 2014",Dallas Mavericks,120,Home,1
20,"Thu, Oct 30, 2014",Oklahoma City Thunder,90,Away,0
20,"Thu, Oct 30, 2014",Los Angeles Clippers,93,Home,1
21,"Fri, Oct 31, 2014",Memphis Grizzlies,97,Away,1
21,"Fri, Oct 31, 2014",Indiana Pacers,89,Home,0
22,"Fri, Oct 31, 2014",Cleveland Cavaliers,114,Away,1
22,"Fri, Oct 31, 2014",Chicago Bulls,108,Home,0
23,"Fri, Oct 31, 2014",Philadelphia 76ers,81,Away,0
23,"Fri, Oct 31, 2014",Milwaukee Bucks,93,Home,1
24,"Fri, Oct 31, 2014",San Antonio Spurs,89,Away,0
24,"Fri, Oct 31, 2014",Phoenix Suns,94,Home,1
25,"Fri, Oct 31, 2014",Portland Trail Blazers,94,Away,0
25,"Fri, Oct 31, 2014",Sacramento Kings,103,Home,1
26,"Fri, Oct 31, 2014",Los Angeles Clippers,118,Away,1
26,"Fri, Oct 31, 2014",Los Angeles Lakers,111,Home,0
27,"Sat, Nov 1, 2014",Memphis Grizzlies,71,Away,1
27,"Sat, Nov 1, 2014",Charlotte Hornets,69,Home,0
28,"Sat, Nov 1, 2014",Dallas Mavericks,109,Away,1
28,"Sat, Nov 1, 2014",New Orleans Pelicans,104,Home,0
29,"Sat, Nov 1, 2014",Toronto Raptors,108,Away,1
29,"Sat, Nov 1, 2014",Orlando Magic,95,Home,0
30,"Sat, Nov 1, 2014",Miami Heat,114,Away,1
30,"Sat, Nov 1, 2014",Philadelphia 76ers,96,Home,0
31,"Sat, Nov 1, 2014",Milwaukee Bucks,97,Away,0
31,"Sat, Nov 1, 2014",Washington Wizards,108,Home,1
32,"Sat, Nov 1, 2014",Indiana Pacers,92,Away,0
32,"Sat, Nov 1, 2014",Atlanta Hawks,102,Home,1
33,"Sat, Nov 1, 2014",Brooklyn Nets,102,Away,1
33,"Sat, Nov 1, 2014",Detroit Pistons,90,Home,0
34,"Sat, Nov 1, 2014",Boston Celtics,90,Away,0
34,"Sat, Nov 1, 2014",Houston Rockets,104,Home,1
35,"Sat, Nov 1, 2014",Chicago Bulls,106,Away,1
35,"Sat, Nov 1, 2014",Minnesota Timberwolves,105,Home,0
36,"Sat, Nov 1, 2014",Denver Nuggets,91,Away,0
