GameID,Date,Team,Points,Home/Away,Win
1,"Tue, Oct 29, 2013",Orlando Magic,87,Away,0
1,"Tue, Oct 29, 2013",Indiana Pacers,97,Home,1
2,"Tue, Oct 29, 2013",Chicago Bulls,95,Away,0
2,"Tue, Oct 29, 2013",Miami Heat,107,Home,1
3,"Tue, Oct 29, 2013",Los Angeles Clippers,103,Away,0
3,"Tue, Oct 29, 2013",Los Angeles Lakers,116,Home,1
4,"Wed, Oct 30, 2013",Brooklyn Nets,94,Away,0
4,"Wed, Oct 30, 2013",Cleveland Cavaliers,98,Home,1
5,"Wed, Oct 30, 2013",Boston Celtics,87,Away,0
5,"Wed, Oct 30, 2013",Toronto Raptors,93,Home,1
6,"Wed, Oct 30, 2013",Miami Heat,110,Away,0
6,"Wed, Oct 30, 2013",Philadelphia 76ers,114,Home,1
7,"Wed, Oct 30, 2013",Washington Wizards,102,Away,0
7,"Wed, Oct 30, 2013",Detroit Pistons,113,Home,1
8,"Wed, Oct 30, 2013",Milwaukee Bucks,83,Away,0
8,"Wed, Oct 30, 2013",New York Knicks,90,Home,1
9,"Wed, Oct 30, 2013",Indiana Pacers,95,Away,1
9,"Wed, Oct 30, 2013",New Orleans Pelicans,90,Home,0
10,"Wed, Oct 30, 2013",Orlando Magic,115,Away,0
10,"Wed, Oct 30, 2013",Minnesota Timberwolves,120,Home,1
11,"Wed, Oct 30, 2013",Charlotte Bobcats,83,Away,0
11,"Wed, Oct 30, 2013",Houston Rockets,96,Home,1
12,"Wed, Oct 30, 2013",Memphis Grizzlies,94,Away,0
12,"Wed, Oct 30, 2013",San Antonio Spurs,101,Home,1
13,"Wed, Oct 30, 2013",Atlanta Hawks,109,Away,0
13,"Wed, Oct 30, 2013",Dallas Mavericks,118,Home,1
14,"Wed, Oct 30, 2013",Oklahoma City Thunder,101,Away,1
14,"Wed, Oct 30, 2013",Utah Jazz,98,Home,0
15,"Wed, Oct 30, 2013",Portland Trail Blazers,91,Away,0
15,"Wed, Oct 30, 2013",Phoenix Suns,104,Home,1
16,"Wed, Oct 30, 2013",Denver Nuggets,88,Away,0
16,"Wed, Oct 30, 2013",Sacramento Kings,90,Home,1
17,"Wed, Oct 30, 2013",Los Angeles Lakers,94,Away,0
17,"Wed, Oct 30, 2013",Golden State Warriors,125,Home,1
18,"Thu, Oct 31, 2013",New York Knicks,81,Away,0
18,"Thu, Oct 31, 2013",Chicago Bulls,82,Home,1
19,"Thu, Oct 31, 2013",Golden State Warriors,115,Away,0
19,"Thu, Oct 31, 2013",Los Angeles Clippers,126,Home,1
20,"Fri, Nov 1, 2013",Cleveland Cavaliers,84,Away,0
20,"Fri, Nov 1, 2013",Charlotte Bobcats,90,Home,1
21,"Fri, Nov 1, 2013",New Orleans Pelicans,90,Away,0
21,"Fri, Nov 1, 2013",Orlando Magic,110,Home,1
22,"Fri, Nov 1, 2013",Philadelphia 76ers,109,Away,1
22,"Fri, Nov 1, 2013",Washington Wizards,102,Home,0
23,"Fri, Nov 1, 2013",Toronto Raptors,95,Away,0
23,"Fri, Nov 1, 2013",Atlanta Hawks,102,Home,1
24,"Fri, Nov 1, 2013",Milwaukee Bucks,105,Away,1
24,"Fri, Nov 1, 2013",Boston Celtics,98,Home,0
25,"Fri, Nov 1, 2013",Miami Heat,100,Away,0
25,"Fri, Nov 1, 2013",Brooklyn Nets,101,Home,1
26,"Fri, Nov 1, 2013",Dallas Mavericks,105,Away,0
26,"Fri, Nov 1, 2013",Houston Rockets,113,Home,1
27,"Fri, Nov 1, 2013",Detroit Pistons,108,Away,0
27,"Fri, Nov 1, 2013",Memphis Grizzlies,111,Home,1
28,"Fri, Nov 1, 2013",Oklahoma City Thunder,81,Away,0
28,"Fri, Nov 1, 2013",Minnesota Timberwolves,100,Home,1
29,"Fri, Nov 1, 2013",Portland Trail Blazers,113,Away,1
29,"Fri, Nov 1, 2013",Denver Nuggets,98,Home,0
30,"Fri, Nov 1, 2013",Utah Jazz,84,Away,0
30,"Fri, Nov 1, 2013",Phoenix Suns,87,Home,1
31,"Fri, Nov 1, 2013",Los Angeles Clippers,110,Away,1
31,"Fri, Nov 1, 2013",Sacramento Kings,101,Home,0
32,"Fri, Nov 1, 2013",San Antonio Spurs,91,Away,1
32,"Fri, Nov 1, 2013",Los Angeles Lakers,85,Home,0
33,"Sat, Nov 2, 2013",Cleveland Cavaliers,74,Away,0
33,"Sat, Nov 2, 2013",Indiana Pacers,89,Home,1
34,"Sat, Nov 2, 2013",Chicago Bulls,104,Away,0
34,"Sat, Nov 2, 2013",Philadelphia 76ers,107,Home,1
35,"Sat, Nov 2, 2013",Charlotte Bobcats,84,Away,0
35,"Sat, Nov 2, 2013",New Orleans Pelicans,105,Home,1
36,"Sat, Nov 2, 2013",Memphis Grizzlies,99,Away,0
36,"Sat, Nov 2, 2013",Dallas Mavericks,111,Home,1
37,"Sat, Nov 2, 2013",Toronto Raptors,97,Away,1
37,"Sat, Nov 2, 2013",Milwaukee Bucks,90,Home,0
38,"Sat, Nov 2, 2013",Houston Rockets,104,Away,1
38,"Sat, Nov 2, 2013",Utah Jazz,93,Home,0
