GameID,Date,Team,Points,Home/Away,Win
1,"Tue, Dec 22, 2020",Golden State Warriors,99,Away,0
1,"Tue, Dec 22, 2020",Brooklyn Nets,125,Home,1
2,"Tue, Dec 22, 2020",Los Angeles Clippers,116,Away,1
2,"Tue, Dec 22, 2020",Los Angeles Lakers,109,Home,0
3,"Wed, Dec 23, 2020",Charlotte Hornets,114,Away,0
3,"Wed, Dec 23, 2020",Cleveland Cavaliers,121,Home,1
4,"Wed, Dec 23, 2020",New York Knicks,107,Away,0
4,"Wed, Dec 23, 2020",Indiana Pacers,121,Home,1
5,"Wed, Dec 23, 2020",Miami Heat,107,Away,0
5,"Wed, Dec 23, 2020",Orlando Magic,113,Home,1
6,"Wed, Dec 23, 2020",Washington Wizards,107,Away,0
6,"Wed, Dec 23, 2020",Philadelphia 76ers,113,Home,1
7,"Wed, Dec 23, 2020",New Orleans Pelicans,113,Away,1
7,"Wed, Dec 23, 2020",Toronto Raptors,99,Home,0
8,"Wed, Dec 23, 2020",Milwaukee Bucks,121,Away,0
8,"Wed, Dec 23, 2020",Boston Celtics,122,Home,1
9,"Wed, Dec 23, 2020",Atlanta Hawks,124,Away,1
9,"Wed, Dec 23, 2020",Chicago Bulls,104,Home,0
10,"Wed, Dec 23, 2020",San Antonio Spurs,131,Away,1
10,"Wed, Dec 23, 2020",Memphis Grizzlies,119,Home,0
11,"Wed, Dec 23, 2020",Detroit Pistons,101,Away,0
11,"Wed, Dec 23, 2020",Minnesota Timberwolves,111,Home,1
12,"Wed, Dec 23, 2020",Sacramento Kings,124,Away,1
12,"Wed, Dec 23, 2020",Denver Nuggets,122,Home,0
13,"Wed, Dec 23, 2020",Utah Jazz,120,Away,1
13,"Wed, Dec 23, 2020",Portland Trail Blazers,100,Home,0
14,"Wed, Dec 23, 2020",Dallas Mavericks,102,Away,0
14,"Wed, Dec 23, 2020",Phoenix Suns,106,Home,1
15,"Fri, Dec 25, 2020",New Orleans Pelicans,98,Away,0
15,"Fri, Dec 25, 2020",Miami Heat,111,Home,1
16,"Fri, Dec 25, 2020",Golden State Warriors,99,Away,0
16,"Fri, Dec 25, 2020",Milwaukee Bucks,138,Home,1
17,"Fri, Dec 25, 2020",Brooklyn Nets,123,Away,1
17,"Fri, Dec 25, 2020",Boston Celtics,95,Home,0
18,"Fri, Dec 25, 2020",Dallas Mavericks,115,Away,0
18,"Fri, Dec 25, 2020",Los Angeles Lakers,138,Home,1
19,"Fri, Dec 25, 2020",Los Angeles Clippers,121,Away,1
19,"Fri, Dec 25, 2020",Denver Nuggets,108,Home,0
20,"Sat, Dec 26, 2020",Atlanta Hawks,122,Away,1
20,"Sat, Dec 26, 2020",Memphis Grizzlies,112,Home,0
21,"Sat, Dec 26, 2020",Oklahoma City Thunder,109,Away,1
21,"Sat, Dec 26, 2020",Charlotte Hornets,107,Home,0
22,"Sat, Dec 26, 2020",Cleveland Cavaliers,128,Away,1
22,"Sat, Dec 26, 2020",Detroit Pistons,119,Home,0
23,"Sat, Dec 26, 2020",Orlando Magic,130,Away,1
23,"Sat, Dec 26, 2020",Washington Wizards,120,Home,0
24,"Sat, Dec 26, 2020",Philadelphia 76ers,109,Away,1
24,"Sat, Dec 26, 2020",New York Knicks,89,Home,0
25,"Sat, Dec 26, 2020",Indiana Pacers,125,Away,1
25,"Sat, Dec 26, 2020",Chicago Bulls,106,Home,0
26,"Sat, Dec 26, 2020",Toronto Raptors,114,Away,0
26,"Sat, Dec 26, 2020",San Antonio Spurs,119,Home,1
27,"Sat, Dec 26, 2020",Minnesota Timberwolves,116,Away,1
27,"Sat, Dec 26, 2020",Utah Jazz,111,Home,0
28,"Sat, Dec 26, 2020",Houston Rockets,126,Away,0
28,"Sat, Dec 26, 2020",Portland Trail Blazers,128,Home,1
29,"Sat, Dec 26, 2020",Phoenix Suns,103,Away,0
29,"Sat, Dec 26, 2020",Sacramento Kings,106,Home,1
30,"Sun, Dec 27, 2020",Dallas Mavericks,124,Away,1
30,"Sun, Dec 27, 2020",Los Angeles Clippers,73,Home,0
31,"Sun, Dec 27, 2020",San Antonio Spurs,95,Away,0
31,"Sun, Dec 27, 2020",New Orleans Pelicans,98,Home,1
32,"Sun, Dec 27, 2020",Orlando Magic,120,Away,1
32,"Sun, Dec 27, 2020",Washington Wizards,113,Home,0
33,"Sun, Dec 27, 2020",Brooklyn Nets,104,Away,0
33,"Sun, Dec 27, 2020",Charlotte Hornets,106,Home,1
34,"Sun, Dec 27, 2020",Philadelphia 76ers,94,Away,0
34,"Sun, Dec 27, 2020",Cleveland Cavaliers,118,Home,1
35,"Sun, Dec 27, 2020",Milwaukee Bucks,110,Away,0
35,"Sun, Dec 27, 2020",New York Knicks,130,Home,1
36,"Sun, Dec 27, 2020",Boston Celtics,107,Away,0
