GameID,Date,Team,Points,Home/Away,Win
1,"Tue, Oct 17, 2017",Boston Celtics,99,Away,0
1,"Tue, Oct 17, 2017",Cleveland Cavaliers,102,Home,1
2,"Tue, Oct 17, 2017",Houston Rockets,122,Away,1
2,"Tue, Oct 17, 2017",Golden State Warriors,121,Home,0
3,"Wed, Oct 18, 2017",Charlotte Hornets,90,Away,0
3,"Wed, Oct 18, 2017",Detroit Pistons,102,Home,1
4,"Wed, Oct 18, 2017",Brooklyn Nets,131,Away,0
4,"Wed, Oct 18, 2017",Indiana Pacers,140,Home,1
5,"Wed, Oct 18, 2017",Miami Heat,109,Away,0
5,"Wed, Oct 18, 2017",Orlando Magic,116,Home,1
6,"Wed, Oct 18, 2017",Philadelphia 76ers,115,Away,0
6,"Wed, Oct 18, 2017",Washington Wizards,120,Home,1
7,"Wed, Oct 18, 2017",Milwaukee Bucks,108,Away,1
7,"Wed, Oct 18, 2017",Boston Celtics,100,Home,0
8,"Wed, Oct 18, 2017",New Orleans Pelicans,91,Away,0
8,"Wed, Oct 18, 2017",Memphis Grizzlies,103,Home,1
9,"Wed, Oct 18, 2017",Atlanta Hawks,117,Away,1
9,"Wed, Oct 18, 2017",Dallas Mavericks,111,Home,0
10,"Wed, Oct 18, 2017",Denver Nuggets,96,Away,0
10,"Wed, Oct 18, 2017",Utah Jazz,106,Home,1
11,"Wed, Oct 18, 2017",Minnesota Timberwolves,99,Away,0
11,"Wed, Oct 18, 2017",San Antonio Spurs,107,Home,1
12,"Wed, Oct 18, 2017",Portland Trail Blazers,124,Away,1
12,"Wed, Oct 18, 2017",Phoenix Suns,76,Home,0
13,"Wed, Oct 18, 2017",Houston Rockets,105,Away,1
13,"Wed, Oct 18, 2017",Sacramento Kings,100,Home,0
14,"Thu, Oct 19, 2017",Chicago Bulls,100,Away,0
14,"Thu, Oct 19, 2017",Toronto Raptors,117,Home,1
15,"Thu, Oct 19, 2017",New York Knicks,84,Away,0
15,"Thu, Oct 19, 2017",Oklahoma City Thunder,105,Home,1
16,"Thu, Oct 19, 2017",Los Angeles Clippers,108,Away,1
16,"Thu, Oct 19, 2017",Los Angeles Lakers,92,Home,0
17,"Fri, Oct 20, 2017",Atlanta Hawks,91,Away,0
17,"Fri, Oct 20, 2017",Charlotte Hornets,109,Home,1
18,"Fri, Oct 20, 2017",Portland Trail Blazers,114,Away,1
18,"Fri, Oct 20, 2017",Indiana Pacers,96,Home,0
19,"Fri, Oct 20, 2017",Cleveland Cavaliers,116,Away,1
19,"Fri, Oct 20, 2017",Milwaukee Bucks,97,Home,0
20,"Fri, Oct 20, 2017",Boston Celtics,102,Away,1
20,"Fri, Oct 20, 2017",Philadelphia 76ers,92,Home,0
21,"Fri, Oct 20, 2017",Detroit Pistons,111,Away,0
21,"Fri, Oct 20, 2017",Washington Wizards,115,Home,1
22,"Fri, Oct 20, 2017",Orlando Magic,121,Away,0
22,"Fri, Oct 20, 2017",Brooklyn Nets,126,Home,1
23,"Fri, Oct 20, 2017",Utah Jazz,97,Away,0
23,"Fri, Oct 20, 2017",Minnesota Timberwolves,100,Home,1
24,"Fri, Oct 20, 2017",Sacramento Kings,93,Away,1
24,"Fri, Oct 20, 2017",Dallas Mavericks,88,Home,0
25,"Fri, Oct 20, 2017",Golden State Warriors,128,Away,1
25,"Fri, Oct 20, 2017",New Orleans Pelicans,120,Home,0
26,"Fri, Oct 20, 2017",Los Angeles Lakers,132,Away,1
26,"Fri, Oct 20, 2017",Phoenix Suns,130,Home,0
27,"Sat, Oct 21, 2017",Philadelphia 76ers,94,Away,0
27,"Sat, Oct 21, 2017",Toronto Raptors,128,Home,1
28,"Sat, Oct 21, 2017",San Antonio Spurs,87,Away,1
28,"Sat, Oct 21, 2017",Chicago Bulls,77,Home,0
29,"Sat, Oct 21, 2017",Orlando Magic,114,Away,1
29,"Sat, Oct 21, 2017",Cleveland Cavaliers,93,Home,0
30,"Sat, Oct 21, 2017",Dallas Mavericks,91,Away,0
30,"Sat, Oct 21, 2017",Houston Rockets,107,Home,1
31,"Sat, Oct 21, 2017",Golden State Warriors,101,Away,0
31,"Sat, Oct 21, 2017",Memphis Grizzlies,111,Home,1
32,"Sat, Oct 21, 2017",Indiana Pacers,108,Away,0
32,"Sat, Oct 21, 2017",Miami Heat,112,Home,1
33,"Sat, Oct 21, 2017",Detroit Pistons,111,Away,1
33,"Sat, Oct 21, 2017",New York Knicks,107,Home,0
34,"Sat, Oct 21, 2017",Portland Trail Blazers,110,Away,0
34,"Sat, Oct 21, 2017",Milwaukee Bucks,113,Home,1
35,"Sat, Oct 21, 2017",Sacramento Kings,79,Away,0
35,"Sat, Oct 21, 2017",Denver Nuggets,96,Home,1
36,"Sat, Oct 21, 2017",Oklahoma City Thunder,87,Away,0
36,"Sat, Oct 21, 2017",Utah Jazz,96,Home,1
37,"Sat, Oct 21, 2017",Phoenix Suns,88,Away,0
37,"Sat, Oct 21, 2017",Los Angeles Clippers,130,Home,1
38,"Sun, Oct 22, 2017",Atlanta Hawks,104,Away,0
38,"Sun, Oct 22, 2017",Brooklyn Nets,116,Home,1
39,"Sun, Oct 22, 2017",Minnesota Timberwolves,115,Away,1
39,"Sun, Oct 22, 2017",Oklahoma City Thunder,113,Home,0
40,"Sun, Oct 22, 2017",New Orleans Pelicans,119,Away,1
40,"Sun, Oct 22, 2017",Los Angeles Lakers,112,Home,0
41,"Mon, Oct 23, 2017",Philadelphia 76ers,97,Away,1
41,"Mon, Oct 23, 2017",Detroit Pistons,86,Home,0
42,"Mon, Oct 23, 2017",Atlanta Hawks,93,Away,0
42,"Mon, Oct 23, 2017",Miami Heat,104,Home,1
43,"Mon, Oct 23, 2017",Memphis Grizzlies,98,Away,1
43,"Mon, Oct 23, 2017",Houston Rockets,90,Home,0
44,"Mon, Oct 23, 2017",Charlotte Hornets,94,Away,0
44,"Mon, Oct 23, 2017",Milwaukee Bucks,103,Home,1
45,"Mon, Oct 23, 2017",Golden State Warriors,133,Away,1
45,"Mon, Oct 23, 2017",Dallas Mavericks,103,Home,0
46,"Mon, Oct 23, 2017",Toronto Raptors,97,Away,0
46,"Mon, Oct 23, 2017",San Antonio Spurs,101,Home,1
47,"Mon, Oct 23, 2017",Washington Wizards,109,Away,1
47,"Mon, Oct 23, 2017",Denver Nuggets,104,Home,0
48,"Mon, Oct 23, 2017",Sacramento Kings,115,Away,0
48,"Mon, Oct 23, 2017",Phoenix Suns,117,Home,1
49,"Tue, Oct 24, 2017",Chicago Bulls,112,Away,0
49,"Tue, Oct 24, 2017",Cleveland Cavaliers,119,Home,1
50,"Tue, Oct 24, 2017",Brooklyn Nets,121,Away,0
50,"Tue, Oct 24, 2017",Orlando Magic,125,Home,1
51,"Tue, Oct 24, 2017",New York Knicks,89,Away,0
51,"Tue, Oct 24, 2017",Boston Celtics,110,Home,1
52,"Tue, Oct 24, 2017",Indiana Pacers,130,Away,1
52,"Tue, Oct 24, 2017",Minnesota Timberwolves,107,Home,0
53,"Tue, Oct 24, 2017",New Orleans Pelicans,93,Away,0
53,"Tue, Oct 24, 2017",Portland Trail Blazers,103,Home,1
54,"Tue, Oct 24, 2017",Utah Jazz,84,Away,0
54,"Tue, Oct 24, 2017",Los Angeles Clippers,102,Home,1
55,"Wed, Oct 25, 2017",Denver Nuggets,93,Away,0
55,"Wed, Oct 25, 2017",Charlotte Hornets,110,Home,1
56,"Wed, Oct 25, 2017",Minnesota Timberwolves,101,Away,0
56,"Wed, Oct 25, 2017",Detroit Pistons,122,Home,1
57,"Wed, Oct 25, 2017",Houston Rockets,105,Away,1
57,"Wed, Oct 25, 2017",Philadelphia 76ers,104,Home,0
58,"Wed, Oct 25, 2017",Cleveland Cavaliers,107,Away,0
58,"Wed, Oct 25, 2017",Brooklyn Nets,112,Home,1
59,"Wed, Oct 25, 2017",San Antonio Spurs,117,Away,1
59,"Wed, Oct 25, 2017",Miami Heat,100,Home,0
